,prodA,prodB
0,1,1
1,1,1
2,1,1
3,1,1
4,1,0
5,0,1
6,1,0
7,1,0
8,0,1
9,0,1
10,0,0
11,1,1
12,1,1
13,1,0
14,0,0
15,0,1
16,1,1
17,1,0
18,1,1
19,1,1
20,0,0
21,0,1
22,1,0
23,1,0
24,1,0
25,0,1
26,0,0
27,1,1
28,1,1
29,0,0
30,0,0
31,0,0
32,1,0
33,1,1
34,0,1
35,1,1
36,1,0
37,0,1
38,1,0
39,1,1
40,1,0
41,0,1
42,1,0
43,1,0
44,0,1
45,1,1
46,0,0
47,1,1
48,0,1
49,0,1
50,1,0
51,0,0
52,1,1
53,1,0
54,1,1
55,1,0
56,0,1
57,0,0
58,1,0
59,1,0
60,1,1
61,1,1
62,1,1
63,1,1
64,1,1
65,0,1
66,1,0
67,0,1
68,0,1
69,1,1
70,0,1
71,1,1
72,1,1
73,1,1
74,1,0
75,0,0
76,1,1
77,0,1
78,0,0
79,1,1
80,1,1
81,0,0
82,0,0
83,1,0
84,1,1
85,1,0
86,0,1
87,1,1
88,1,1
89,0,1
90,1,1
91,1,1
92,1,0
93,1,0
94,0,1
95,1,1
96,0,0
97,1,1
98,0,1
99,0,1
100,0,1
101,0,0
102,1,0
103,1,1
104,1,1
105,1,1
106,0,0
107,0,1
108,0,0
109,0,0
110,1,1
111,0,0
112,1,1
113,0,0
114,0,0
115,1,1
116,0,1
117,0,1
118,1,0
119,1,0
120,1,0
121,1,1
122,1,0
123,1,0
124,0,0
125,1,1
126,1,1
127,1,0
128,0,0
129,1,1
130,1,1
131,0,1
132,0,1
133,1,1
134,0,1
135,0,0
136,1,1
137,0,1
138,1,0
139,0,0
140,1,0
141,1,1
142,1,1
143,1,1
144,1,0
145,0,1
146,0,0
147,1,1
148,1,1
149,0,1
150,0,0
151,1,1
152,0,1
153,1,1
154,1,1
155,1,1
156,0,0
157,1,1
158,0,1
159,0,0
160,1,1
161,1,0
162,1,0
163,1,1
164,1,1
165,1,0
166,1,0
167,1,1
168,0,0
169,1,1
170,1,0
171,1,1
172,1,1
173,0,0
174,0,1
175,0,1
176,1,1
177,1,0
178,1,1
179,0,1
180,1,0
181,0,1
182,1,0
183,1,0
184,1,1
185,1,0
186,1,0
187,1,0
188,0,1
189,1,1
190,1,0
191,0,0
192,1,1
193,0,1
194,0,0
195,0,1
196,1,0
197,1,0
198,1,1
199,1,0
200,0,1
201,0,0
202,0,1
203,0,0
204,1,1
205,0,1
206,0,1
207,0,0
208,0,0
209,1,1
210,0,1
211,1,0
212,0,1
213,0,1
214,1,1
215,0,0
216,0,0
217,1,1
218,0,1
219,1,1
220,1,1
221,0,0
222,1,0
223,1,1
224,1,1
225,1,0
226,0,1
227,1,0
228,1,1
229,1,0
230,0,0
231,1,1
232,0,1
233,1,0
234,1,1
235,1,1
236,0,1
237,1,1
238,1,0
239,1,0
240,0,1
241,1,0
242,1,1
243,0,1
244,1,1
245,1,1
246,1,0
247,1,1
248,0,1
249,1,1
250,1,1
251,1,1
252,1,1
253,1,0
254,0,0
255,0,0
256,1,1
257,1,1
258,1,1
259,0,0
260,1,0
261,1,0
262,1,1
263,1,0
264,1,1
265,0,0
266,1,1
267,1,1
268,1,0
269,0,1
270,1,1
271,1,1
272,1,1
273,0,0
274,1,1
275,1,0
276,1,1
277,1,1
278,0,1
279,0,1
280,1,1
281,1,0
282,1,1
283,0,1
284,0,1
285,1,1
286,1,0
287,1,1
288,0,1
289,0,1
290,1,1
291,1,1
292,1,1
293,1,1
294,0,0
295,1,1
296,1,1
297,0,0
298,1,1
299,1,0
300,1,1
301,1,0
302,1,1
303,1,1
304,1,1
305,1,1
306,1,1
307,1,0
308,0,1
309,0,1
310,0,1
311,1,1
312,1,0
313,1,1
314,1,0
315,1,1
316,1,0
317,1,1
318,1,1
319,1,1
320,1,0
321,0,0
322,0,1
323,1,0
324,1,1
325,1,1
326,1,1
327,1,1
328,0,0
329,1,0
330,0,1
331,1,1
332,0,0
333,1,1
334,0,0
335,1,0
336,1,0
337,1,0
338,0,0
339,1,0
340,1,1
341,1,0
342,1,0
343,1,1
344,1,0
345,1,1
346,1,1
347,1,0
348,1,0
349,0,1
350,0,1
351,1,0
352,1,1
353,0,0
354,1,1
355,0,1
356,0,1
357,1,0
358,0,1
359,1,1
360,1,1
361,0,1
362,0,1
363,0,0
364,0,1
365,1,1
366,1,0
367,1,1
368,1,1
369,0,0
370,1,1
371,1,1
372,0,1
373,1,0
374,1,1
375,0,0
376,0,1
377,0,1
378,0,0
379,0,1
380,0,0
381,1,1
382,1,0
383,0,0
384,1,1
385,1,0
386,0,0
387,0,1
388,0,0
389,0,0
390,0,0
391,0,1
392,0,1
393,0,1
394,0,1
395,0,0
396,0,1
397,0,1
398,1,0
399,1,0
400,1,1
401,0,1
402,1,1
403,0,1
404,1,0
405,1,1
406,1,1
407,1,1
408,0,0
409,1,0
410,0,1
411,1,0
412,0,1
413,1,0
414,1,0
415,0,0
416,0,1
417,1,0
418,0,0
419,1,1
420,0,1
421,1,1
422,0,1
423,1,0
424,0,1
425,1,0
426,1,1
427,1,1
428,0,1
429,1,1
430,0,0
431,0,0
432,0,1
433,0,0
434,1,1
435,1,1
436,1,1
437,0,1
438,1,0
439,1,1
440,0,0
441,0,0
442,1,1
443,0,1
444,0,0
445,0,1
446,1,1
447,1,1
448,1,1
449,1,1
450,0,1
451,0,1
452,0,1
453,1,1
454,1,1
455,1,0
456,1,0
457,0,1
458,1,0
459,0,1
460,0,0
461,1,1
462,0,1
463,1,1
464,0,1
465,1,1
466,0,0
467,0,1
468,1,1
469,0,0
470,0,1
471,0,0
472,1,1
473,0,1
474,1,1
475,1,1
476,1,0
477,1,1
478,0,0
479,0,1
480,1,1
481,0,1
482,0,1
483,0,0
484,0,1
485,1,1
486,1,1
487,1,1
488,0,1
489,0,0
490,1,0
491,1,0
492,0,0
493,0,0
494,1,0
495,1,1
496,1,1
497,0,1
498,1,0
499,0,0
500,1,0
501,0,1
502,1,0
503,0,0
504,0,0
505,1,1
506,1,1
507,1,1
508,0,0
509,0,1
510,1,1
511,0,1
512,1,1
513,0,0
514,0,1
515,0,1
516,1,1
517,1,1
518,1,1
519,1,1
520,1,0
521,1,1
522,1,0
523,1,1
524,1,1
525,0,1
526,1,1
527,1,0
528,0,0
529,0,1
530,1,0
531,1,1
532,0,0
533,0,0
534,1,0
535,0,0
536,0,1
537,1,1
538,1,0
539,0,0
540,1,0
541,1,1
542,0,0
543,0,0
544,1,1
545,1,1
546,1,0
547,0,1
548,0,1
549,0,0
550,1,1
551,0,1
552,0,1
553,1,1
554,1,0
555,1,0
556,1,1
557,0,1
558,1,0
559,1,0
560,0,0
561,0,1
562,0,1
563,1,1
564,0,1
565,1,1
566,1,1
567,0,1
568,1,1
569,1,0
570,1,0
571,0,1
572,1,0
573,0,0
574,1,1
575,0,1
576,0,1
577,0,1
578,1,0
579,1,1
580,1,1
581,0,1
582,1,1
583,1,1
584,1,0
585,0,0
586,1,1
587,0,1
588,0,0
589,0,1
590,1,0
591,1,1
592,1,1
593,1,1
594,1,1
595,1,0
596,1,1
597,0,0
598,1,1
599,0,0
600,0,1
601,0,1
602,1,0
603,1,1
604,0,0
605,0,1
606,0,0
607,0,0
608,1,0
609,1,0
610,0,0
611,0,1
612,0,1
613,0,1
614,1,0
615,1,1
616,1,1
617,0,1
618,0,1
619,0,1
620,1,1
621,0,1
622,0,1
623,1,0
624,0,1
625,0,0
626,1,1
627,0,1
628,1,1
629,1,0
630,0,0
631,1,0
632,0,1
633,0,1
634,1,1
635,1,0
636,1,1
637,1,1
638,0,1
639,1,0
640,1,1
641,1,0
642,0,0
643,1,0
644,0,0
645,1,0
646,0,1
647,0,1
648,0,1
649,0,0
650,1,0
651,1,1
652,0,1
653,1,1
654,0,1
655,1,1
656,1,1
657,0,1
658,1,0
659,1,0
660,0,1
661,0,0
662,1,1
663,0,0
664,0,0
665,0,0
666,0,1
667,0,0
668,1,1
669,1,1
670,0,1
671,1,1
672,0,1
673,0,0
674,1,1
675,0,1
676,0,1
677,1,1
678,0,0
679,1,0
680,0,1
681,1,0
682,1,0
683,1,1
684,1,1
685,1,1
686,0,0
687,0,0
688,0,0
689,1,1
690,1,1
691,1,0
692,1,1
693,1,1
694,0,1
695,1,1
696,1,1
697,0,1
698,0,0
699,1,0
700,0,1
701,1,1
702,1,1
703,0,0
704,0,0
705,0,0
706,0,0
707,0,0
708,0,1
709,1,1
710,1,1
711,1,1
712,0,1
713,1,1
714,0,1
715,0,0
716,1,1
717,1,0
718,1,1
719,1,0
720,1,0
721,0,1
722,1,0
723,1,1
724,0,1
725,0,1
726,0,1
727,0,1
728,0,0
729,0,1
730,0,0
731,0,0
732,0,0
733,0,1
734,1,1
735,1,1
736,0,1
737,1,1
738,1,0
739,1,1
740,0,1
741,1,1
742,1,1
743,1,0
744,0,0
745,1,0
746,1,1
747,1,1
748,1,0
749,0,1
750,0,0
751,0,0
752,0,1
753,1,1
754,1,0
755,1,1
756,0,1
757,1,1
758,1,0
759,0,1
760,1,1
761,0,0
762,0,1
763,1,1
764,1,1
765,1,0
766,0,1
767,1,1
768,0,0
769,0,0
770,1,1
771,1,1
772,1,1
773,1,1
774,0,1
775,0,0
776,1,0
777,1,1
778,1,1
779,1,0
780,0,0
781,0,1
782,1,0
783,1,1
784,1,1
785,1,1
786,1,0
787,1,1
788,1,1
789,1,1
790,1,1
791,1,1
792,0,0
793,1,0
794,1,0
795,0,1
796,0,0
797,1,1
798,1,1
799,1,1
800,1,1
801,1,1
802,0,0
803,1,0
804,1,0
805,1,0
806,1,1
807,1,0
808,0,1
809,1,0
810,1,1
811,0,1
812,0,1
813,0,1
814,0,1
815,1,0
816,0,1
817,0,0
818,1,1
819,0,1
820,1,1
821,0,0
822,1,1
823,0,1
824,1,1
825,1,1
826,1,0
827,0,1
828,1,0
829,0,0
830,1,0
831,1,1
832,1,0
833,1,1
834,0,1
835,1,1
836,0,0
837,1,1
838,0,1
839,1,0
840,1,0
841,0,1
842,1,1
843,1,0
844,0,1
845,0,1
846,1,1
847,0,0
848,1,1
849,1,0
850,1,0
851,1,1
852,1,1
853,0,0
854,1,0
855,1,1
856,1,1
857,0,1
858,0,1
859,0,1
860,0,0
861,1,1
862,0,0
863,0,1
864,1,1
865,1,1
866,1,0
867,0,0
868,1,0
869,0,1
870,1,0
871,1,1
872,1,1
873,1,1
874,0,1
875,0,1
876,1,0
877,1,1
878,1,1
879,0,0
880,1,0
881,0,0
882,1,1
883,1,0
884,1,1
885,1,1
886,1,0
887,0,1
888,1,0
889,0,0
890,0,1
891,0,0
892,0,0
893,0,1
894,0,0
895,0,1
896,0,1
897,0,1
898,0,0
899,1,0
900,1,1
901,0,1
902,0,0
903,0,1
904,1,1
905,0,0
906,0,0
907,1,1
908,1,0
909,1,1
910,1,0
911,1,0
912,1,0
913,1,1
914,0,0
915,0,1
916,1,0
917,0,1
918,1,0
919,0,0
920,1,1
921,0,1
922,0,1
923,0,1
924,1,1
925,1,0
926,1,1
927,0,1
928,0,0
929,0,1
930,1,1
931,0,0
932,0,0
933,0,1
934,1,0
935,0,1
936,0,0
937,1,1
938,0,1
939,1,0
940,0,1
941,0,0
942,1,1
943,1,0
944,1,1
945,0,1
946,0,0
947,1,1
948,1,1
949,1,1
950,1,1
951,1,1
952,1,1
953,1,1
954,1,1
955,1,0
956,1,1
957,1,0
958,1,1
959,1,1
960,1,0
961,1,1
962,1,1
963,0,1
964,1,0
965,1,1
966,1,1
967,1,1
968,0,1
969,0,0
970,1,0
971,1,1
972,0,1
973,1,1
974,0,1
975,1,1
976,0,1
977,1,1
978,1,1
979,1,0
980,1,0
981,0,0
982,1,0
983,0,1
984,1,0
985,1,1
986,1,0
987,0,1
988,0,1
989,1,0
990,1,1
991,0,0
992,1,1
993,1,1
994,1,1
995,0,0
996,0,1
997,1,0
998,1,0
999,0,1
1000,0,1
1001,1,0
1002,0,1
1003,0,1
1004,1,1
1005,1,0
1006,1,1
1007,1,0
1008,1,1
1009,1,1
1010,1,1
1011,0,1
1012,0,1
1013,1,1
1014,0,1
1015,1,1
1016,1,1
1017,1,1
1018,0,1
1019,0,0
1020,0,1
1021,1,1
1022,0,1
1023,0,1
1024,1,0
1025,0,0
1026,1,1
1027,0,1
1028,1,1
1029,0,1
1030,1,1
1031,0,1
1032,1,1
1033,1,0
1034,1,1
1035,1,1
1036,0,0
1037,1,0
1038,0,0
1039,1,1
1040,1,0
1041,1,0
1042,1,0
1043,1,0
1044,0,0
1045,0,0
1046,0,1
1047,1,1
1048,0,1
1049,1,1
1050,0,1
1051,1,0
1052,1,1
1053,0,1
1054,1,0
1055,0,1
1056,0,0
1057,1,0
1058,1,1
1059,1,1
1060,0,1
1061,0,0
1062,1,1
1063,0,1
1064,1,0
1065,1,1
1066,1,0
1067,0,1
1068,1,1
1069,1,1
1070,0,0
1071,0,0
1072,1,0
1073,0,0
1074,1,1
1075,1,1
1076,0,1
1077,0,1
1078,0,1
1079,0,0
1080,1,1
1081,1,1
1082,1,1
1083,1,0
1084,0,0
1085,0,1
1086,0,1
1087,0,0
1088,1,0
1089,1,1
1090,1,1
1091,1,1
1092,0,1
1093,1,1
1094,0,1
1095,1,0
1096,0,0
1097,0,0
1098,0,0
1099,0,0
1100,1,0
1101,0,0
1102,1,0
1103,1,1
1104,1,1
1105,1,1
1106,1,0
1107,1,0
1108,1,1
1109,1,1
1110,1,1
1111,1,1
1112,1,0
1113,0,1
1114,1,1
1115,1,0
1116,1,1
1117,1,0
1118,1,1
1119,1,0
1120,0,1
1121,1,1
1122,0,1
1123,0,0
1124,1,0
1125,1,0
1126,1,1
1127,0,1
1128,0,1
1129,0,1
1130,0,0
1131,0,0
1132,1,1
1133,1,1
1134,1,0
1135,0,1
1136,1,1
1137,1,0
1138,1,1
1139,0,0
1140,1,0
1141,1,1
1142,0,0
1143,1,1
1144,1,0
1145,0,0
1146,0,0
1147,1,0
1148,0,0
1149,0,0
1150,0,0
1151,1,1
1152,1,1
1153,1,0
1154,1,1
1155,1,1
1156,1,1
1157,1,1
1158,1,0
1159,0,1
1160,1,0
1161,1,0
1162,1,1
1163,1,0
1164,1,1
1165,0,0
1166,1,1
1167,1,0
1168,0,1
1169,1,1
1170,0,1
1171,0,0
1172,0,1
1173,0,1
1174,1,1
1175,1,0
1176,1,1
1177,1,1
1178,1,0
1179,1,1
1180,1,0
1181,1,1
1182,1,0
1183,0,1
1184,1,0
1185,1,0
1186,0,1
1187,0,1
1188,1,0
1189,1,0
1190,0,1
1191,1,0
1192,0,1
1193,1,0
1194,1,1
1195,1,1
1196,0,1
1197,1,1
1198,1,1
1199,1,1
1200,1,1
1201,0,1
1202,0,1
1203,1,0
1204,1,0
1205,0,0
1206,1,0
1207,1,1
1208,0,0
1209,0,0
1210,1,1
1211,1,1
1212,0,0
1213,1,1
1214,0,1
1215,0,0
1216,1,1
1217,0,1
1218,0,1
1219,1,1
1220,1,1
1221,1,1
1222,0,1
1223,1,0
1224,1,1
1225,1,0
1226,0,1
1227,0,1
1228,1,1
1229,0,0
1230,0,1
1231,0,1
1232,0,0
1233,1,1
1234,0,1
1235,0,1
1236,1,0
1237,1,0
1238,0,1
1239,1,1
1240,0,0
1241,0,1
1242,0,1
1243,1,0
1244,1,1
1245,0,1
1246,0,1
1247,1,0
1248,0,0
1249,0,1
1250,1,1
1251,1,0
1252,0,1
1253,1,0
1254,1,0
1255,0,0
1256,0,1
1257,1,1
1258,1,1
1259,0,1
1260,0,1
1261,0,0
1262,1,1
1263,1,1
1264,1,0
1265,1,0
1266,1,0
1267,1,1
1268,0,1
1269,0,1
1270,0,0
1271,1,1
1272,0,0
1273,1,1
1274,1,0
1275,1,0
1276,1,0
1277,0,0
1278,1,0
1279,1,1
1280,0,1
1281,1,1
1282,1,0
1283,0,1
1284,0,0
1285,1,1
1286,1,1
1287,1,1
1288,1,1
1289,1,0
1290,0,1
1291,0,1
1292,0,1
1293,1,1
1294,1,0
1295,0,1
1296,1,1
1297,0,0
1298,0,0
1299,1,0
1300,0,0
1301,0,1
1302,1,1
1303,1,1
1304,1,1
1305,1,0
1306,1,0
1307,1,0
1308,0,1
1309,0,1
1310,1,0
1311,1,0
1312,1,1
1313,0,1
1314,1,0
1315,0,1
1316,1,1
1317,1,1
1318,1,0
1319,1,1
1320,1,0
1321,1,0
1322,0,0
1323,1,0
1324,1,1
1325,1,1
1326,0,0
1327,1,0
1328,0,0
1329,0,1
1330,1,0
1331,1,0
1332,1,1
1333,0,1
1334,1,0
1335,0,0
1336,1,0
1337,1,0
1338,0,0
1339,0,1
1340,1,1
1341,0,0
1342,1,1
1343,1,0
1344,1,0
1345,1,1
1346,1,0
1347,1,1
1348,0,0
1349,0,1
1350,1,0
1351,1,1
1352,0,0
1353,0,0
1354,0,1
1355,0,1
1356,1,0
1357,1,1
1358,0,1
1359,1,1
