Direction,Year,Country,Religion,Count,Percent,Region,level,countrycode
Incoming,1990,Global Total,All,"152,970,000",100,Global,3,9999
Incoming,1990,Global Total,Buddhist,"4,590,000",3,Global,3,9999
Incoming,1990,Global Total,Christian,"72,710,000",47.5,Global,3,9999
Incoming,1990,Global Total,Hindu,"9,130,000",6,Global,3,9999
Incoming,1990,Global Total,Jew,"2,340,000",1.5,Global,3,9999
Incoming,1990,Global Total,Muslim,"39,880,000",26.1,Global,3,9999
Incoming,1990,Global Total,Other,"2,530,000",1.7,Global,3,9999
Incoming,1990,Global Total,Unaffiliated,"21,790,000",14.2,Global,3,9999
Incoming,1990,All Asia-Pacific,All,"39,960,000",100,Asia-Pacific,2,9001
Incoming,1990,All Asia-Pacific,Buddhist,"3,180,000",8,Asia-Pacific,2,9001
Incoming,1990,All Asia-Pacific,Christian,"9,510,000",23.8,Asia-Pacific,2,9001
Incoming,1990,All Asia-Pacific,Hindu,"7,100,000",17.8,Asia-Pacific,2,9001
Incoming,1990,All Asia-Pacific,Jew,"80,000",0.2,Asia-Pacific,2,9001
Incoming,1990,All Asia-Pacific,Muslim,"14,900,000",37.3,Asia-Pacific,2,9001
Incoming,1990,All Asia-Pacific,Other,"840,000",2.1,Asia-Pacific,2,9001
Incoming,1990,All Asia-Pacific,Unaffiliated,"4,360,000",10.9,Asia-Pacific,2,9001
Incoming,1990,All Europe,All,"49,910,000",100,Europe,2,9002
Incoming,1990,All Europe,Buddhist,"560,000",1.1,Europe,2,9002
Incoming,1990,All Europe,Christian,"28,650,000",57.4,Europe,2,9002
Incoming,1990,All Europe,Hindu,"490,000",1,Europe,2,9002
Incoming,1990,All Europe,Jew,"400,000",0.8,Europe,2,9002
Incoming,1990,All Europe,Muslim,"7,900,000",15.8,Europe,2,9002
Incoming,1990,All Europe,Other,"530,000",1.1,Europe,2,9002
Incoming,1990,All Europe,Unaffiliated,"11,380,000",22.8,Europe,2,9002
Incoming,1990,All Latin America-Caribbean,All,"7,120,000",100,Latin America-Caribbean,2,9003
Incoming,1990,All Latin America-Caribbean,Buddhist,"100,000",1.4,Latin America-Caribbean,2,9003
Incoming,1990,All Latin America-Caribbean,Christian,"5,700,000",80,Latin America-Caribbean,2,9003
Incoming,1990,All Latin America-Caribbean,Hindu,"20,000",0.3,Latin America-Caribbean,2,9003
Incoming,1990,All Latin America-Caribbean,Jew,"110,000",1.5,Latin America-Caribbean,2,9003
Incoming,1990,All Latin America-Caribbean,Muslim,"70,000",1,Latin America-Caribbean,2,9003
Incoming,1990,All Latin America-Caribbean,Other,"200,000",2.8,Latin America-Caribbean,2,9003
Incoming,1990,All Latin America-Caribbean,Unaffiliated,"920,000",13,Latin America-Caribbean,2,9003
Incoming,1990,All Middle East-North Africa,All,"15,080,000",100,Middle East-North Africa,2,9004
Incoming,1990,All Middle East-North Africa,Buddhist,"20,000",0.1,Middle East-North Africa,2,9004
Incoming,1990,All Middle East-North Africa,Christian,"1,560,000",10.4,Middle East-North Africa,2,9004
Incoming,1990,All Middle East-North Africa,Hindu,"670,000",4.4,Middle East-North Africa,2,9004
Incoming,1990,All Middle East-North Africa,Jew,"1,420,000",9.4,Middle East-North Africa,2,9004
Incoming,1990,All Middle East-North Africa,Muslim,"11,060,000",73.3,Middle East-North Africa,2,9004
Incoming,1990,All Middle East-North Africa,Other,"40,000",0.3,Middle East-North Africa,2,9004
Incoming,1990,All Middle East-North Africa,Unaffiliated,"320,000",2.1,Middle East-North Africa,2,9004
Incoming,1990,All North America,All,"27,610,000",100,North America,2,9005
Incoming,1990,All North America,Buddhist,"730,000",2.6,North America,2,9005
Incoming,1990,All North America,Christian,"19,820,000",71.8,North America,2,9005
Incoming,1990,All North America,Hindu,"830,000",3,North America,2,9005
Incoming,1990,All North America,Jew,"330,000",1.2,North America,2,9005
Incoming,1990,All North America,Muslim,"1,300,000",4.7,North America,2,9005
Incoming,1990,All North America,Other,"310,000",1.1,North America,2,9005
Incoming,1990,All North America,Unaffiliated,"4,300,000",15.6,North America,2,9005
Incoming,1990,All Sub-Saharan Africa,All,"13,290,000",100,Sub-Saharan Africa,2,9006
Incoming,1990,All Sub-Saharan Africa,Buddhist,"< 10,000",0.1,Sub-Saharan Africa,2,9006
Incoming,1990,All Sub-Saharan Africa,Christian,"7,470,000",56.2,Sub-Saharan Africa,2,9006
Incoming,1990,All Sub-Saharan Africa,Hindu,"20,000",0.2,Sub-Saharan Africa,2,9006
Incoming,1990,All Sub-Saharan Africa,Jew,"< 10,000",0.1,Sub-Saharan Africa,2,9006
Incoming,1990,All Sub-Saharan Africa,Muslim,"4,660,000",35.1,Sub-Saharan Africa,2,9006
Incoming,1990,All Sub-Saharan Africa,Other,"610,000",4.6,Sub-Saharan Africa,2,9006
Incoming,1990,All Sub-Saharan Africa,Unaffiliated,"510,000",3.8,Sub-Saharan Africa,2,9006
Incoming,1990,Afghanistan,All,"60,000",100,Asia-Pacific,1,4
Incoming,1990,Afghanistan,Buddhist,"< 10,000",0.1,Asia-Pacific,1,4
Incoming,1990,Afghanistan,Christian,"< 10,000",0.6,Asia-Pacific,1,4
Incoming,1990,Afghanistan,Hindu,"< 10,000",0.3,Asia-Pacific,1,4
Incoming,1990,Afghanistan,Jew,"< 10,000",0,Asia-Pacific,1,4
Incoming,1990,Afghanistan,Muslim,"60,000",98.7,Asia-Pacific,1,4
Incoming,1990,Afghanistan,Other,"< 10,000",0.2,Asia-Pacific,1,4
Incoming,1990,Afghanistan,Unaffiliated,"< 10,000",0.1,Asia-Pacific,1,4
Incoming,1990,Albania,All,"70,000",100,Europe,1,8
Incoming,1990,Albania,Buddhist,"< 10,000",0.1,Europe,1,8
Incoming,1990,Albania,Christian,"50,000",82.3,Europe,1,8
Incoming,1990,Albania,Hindu,"< 10,000",0.2,Europe,1,8
Incoming,1990,Albania,Jew,"< 10,000",0.2,Europe,1,8
Incoming,1990,Albania,Muslim,"< 10,000",9,Europe,1,8
Incoming,1990,Albania,Other,"< 10,000",0.3,Europe,1,8
Incoming,1990,Albania,Unaffiliated,"< 10,000",7.9,Europe,1,8
Incoming,1990,Algeria,All,"270,000",100,Middle East-North Africa,1,12
Incoming,1990,Algeria,Buddhist,"< 10,000",0,Middle East-North Africa,1,12
Incoming,1990,Algeria,Christian,"30,000",11,Middle East-North Africa,1,12
Incoming,1990,Algeria,Hindu,"< 10,000",0,Middle East-North Africa,1,12
